stud_id,w2sch_id,w2cls_id,w2td01,w2td02,w2td03,w2td04,w2td05,w2td06,w2td07,w2td08,w2td09,w2td10,w2td11,w2td12,w2td13,w2td14,w2td15,w2tcs1,w2tcs2,w2tcs3,w2tcs4,w2tcs5,w2tes1,w2tes2,w2tes3,w2tes4,w2tes5,w2tms1,w2tms2,w2tms3,w2tms4,w2tms5,w2sumerr,w2summis
00080,328,3072,4,3,4,5,4,4,4,4,4,4,3,2,4,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,15
00081,466,2668,3,6,4,4,3,4,5,5,2,5,3,1,3,1,5,4,4,3,4,3,3,3,3,4,4,3,4,2,4,4,0,0
00082,549,2268,2,4,4,3,3,3,4,4,2,4,4,4,3,3,3,2,3,4,3,3,4,4,3,4,4,4,3,4,4,5,0,0
00083,322,3885,5,3,4,4,4,4,3,3,4,5,4,2,4,1,2,3,4,3,4,4,4,4,1,4,4,4,4,2,4,4,0,0
00084,586,3513,1,2,3,2,1,1,2,3,2,3,2,4,4,3,3,2,2,3,4,3,2,2,3,4,3,3,3,4,3,4,0,0
00085,407,3827,4,3,4,4,3,5,4,5,3,5,2,3,4,2,4,2,3,4,4,99,4,5,4,4,4,4,3,4,4,5,0,1
00086,383,3752,5,1,3,4,3,4,3,2,4,4,1,2,4,1,5,2,3,4,3,3,1,3,3,3,2,2,3,3,2,1,0,0
00087,564,2434,2,2,2,3,3,1,2,2,2,2,2,4,4,4,4,2,3,2,1,2,2,3,3,3,3,2,3,3,3,2,0,0
00088,570,2389,2,3,3,3,4,4,4,3,3,3,3,2,2,2,2,2,3,3,3,4,99,99,99,99,99,2,3,4,3,3,0,5
00089,519,3908,2,2,3,2,2,3,2,2,2,2,2,4,4,4,4,2,2,4,4,1,3,2,4,4,3,2,2,4,3,2,0,0
00090,397,2129,3,3,2,1,1,2,2,4,2,2,2,4,4,4,3,2,2,4,2,2,2,2,3,3,2,99,99,99,99,99,0,5
00091,458,3222,3,3,3,3,4,4,3,4,4,4,3,3,4,2,4,2,3,3,3,4,3,4,3,4,4,2,3,3,2,2,0,0
00092,372,3546,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,2,4,3,1,2,1,4,1,1,2,2,4,4,1,0,0
00093,407,2734,2,6,2,2,2,3,2,2,2,2,2,4,4,4,4,3,1,4,4,4,2,2,4,3,3,2,2,4,3,2,0,0
00094,460,3117,3,6,4,4,4,5,4,4,3,4,4,1,4,1,2,2,3,1,3,4,4,4,2,4,4,3,2,3,3,3,0,0
00095,307,3542,2,2,3,3,2,2,2,2,2,2,3,4,4,3,3,2,2,4,4,1,1,1,4,4,1,2,1,4,3,1,0,0
00096,239,2025,2,3,2,2,2,2,2,2,2,2,3,4,4,4,3,1,1,4,3,1,1,2,4,1,1,2,1,3,3,2,0,0
00097,307,3759,4,3,3,3,3,3,2,2,2,3,2,4,4,2,2,2,2,4,1,2,2,2,3,3,2,2,3,4,3,3,0,0
00098,324,3081,3,3,3,3,3,3,4,4,2,3,2,2,4,3,4,3,3,3,3,3,3,3,3,4,5,4,4,3,4,4,0,0
00099,054,2751,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,4,3,1,1,2,4,2,1,2,2,4,1,1,0,15
00100,597,2299,1,2,3,2,1,1,2,3,2,1,2,5,4,3,2,2,2,4,3,2,2,1,4,4,2,2,2,4,3,2,0,0
00102,463,2671,4,2,4,4,4,4,4,4,4,4,4,3,4,2,3,2,2,4,4,3,3,3,3,4,3,99,99,99,99,99,0,5
00104,591,2633,5,4,3,3,3,3,5,5,4,5,2,1,1,1,4,5,4,1,4,97,3,3,2,4,3,4,4,3,4,4,1,0
00105,487,3936,4,3,4,4,3,4,3,3,3,4,2,3,4,1,3,3,3,3,4,5,99,99,99,99,99,3,3,3,3,4,0,5
00106,471,3704,2,3,2,2,1,2,2,2,2,2,2,4,4,3,3,2,2,4,3,2,2,1,3,2,2,2,3,4,4,2,0,0
00107,477,2685,4,4,4,4,4,4,3,4,4,4,2,2,2,2,1,2,2,4,3,2,3,3,3,4,4,3,3,3,3,2,0,0
00108,322,2488,3,2,3,2,2,3,2,3,2,3,2,2,4,2,3,2,2,4,3,2,2,2,4,3,2,2,2,4,3,2,0,0
00109,515,3168,3,3,3,3,2,3,3,4,3,4,2,3,4,3,4,2,3,5,4,3,3,2,4,4,3,3,4,2,3,4,0,0
00110,158,2594,3,6,3,3,3,3,3,3,3,3,3,3,4,3,4,2,3,3,3,3,3,3,4,4,3,2,3,2,4,3,0,0
00111,331,2312,2,2,2,3,2,3,3,3,3,2,1,4,4,3,3,2,2,3,3,4,3,3,4,3,5,2,3,4,3,4,0,0
00112,632,3104,2,6,2,6,2,3,3,3,2,4,1,2,4,2,4,2,3,2,4,4,3,3,3,3,5,3,3,4,4,4,0,0
00113,633,3234,2,2,4,4,3,3,3,3,3,3,2,2,4,2,4,3,4,3,4,3,3,3,3,4,4,2,3,2,3,3,0,0
00114,366,2105,3,3,2,3,3,2,3,3,3,4,2,1,3,2,2,2,4,3,3,4,4,4,3,3,4,3,4,3,4,4,0,0
00116,593,2579,4,6,3,3,3,6,6,6,3,3,3,3,4,3,3,2,2,3,4,4,2,2,4,4,3,99,99,99,99,99,0,5
00117,442,3358,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,3,99,99,99,99,99,99,99,99,99,99,0,25
00118,425,3511,3,6,3,2,3,4,3,3,3,3,3,2,4,2,3,2,3,3,4,2,4,4,2,4,3,4,4,4,4,4,0,0
00119,572,2085,4,6,4,4,3,4,4,4,4,4,3,4,4,3,4,99,99,99,99,99,3,3,4,4,4,3,3,3,4,4,0,5
00120,619,2087,2,2,2,2,2,2,2,2,3,1,2,4,4,4,3,2,2,4,2,2,2,2,4,3,2,2,2,4,2,2,0,0
00121,423,3315,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,3,1,2,2,2,3,2,2,2,2,4,1,2,0,15
00122,321,2687,5,6,5,5,3,5,5,6,6,5,2,1,3,1,3,4,4,2,4,5,4,4,1,4,5,4,4,2,4,5,0,0
00123,157,2919,2,1,2,2,2,2,2,2,2,2,3,3,4,4,4,2,2,4,3,2,2,3,4,4,2,2,2,4,2,2,0,0
00124,401,3612,2,2,1,1,1,1,1,2,2,1,2,2,4,3,3,2,1,4,3,1,1,1,4,2,1,2,3,4,3,3,0,0
00125,494,3653,3,6,3,4,2,2,3,4,3,3,1,4,4,3,3,2,2,4,4,4,2,2,4,3,4,2,2,4,4,2,0,0
00126,302,2710,4,3,3,3,3,3,2,2,4,4,3,2,4,1,2,2,2,4,3,2,1,3,4,3,2,2,2,4,4,2,0,0
00127,533,2676,3,4,4,4,3,4,4,3,4,5,4,3,2,2,3,3,3,3,4,4,4,4,1,4,5,4,4,2,4,5,0,0
00129,508,2899,2,3,3,3,3,3,3,4,3,4,4,2,4,2,3,3,4,3,4,4,3,4,2,4,4,3,3,3,4,4,0,0
00130,461,2714,2,6,2,2,1,2,1,2,1,1,2,3,4,3,3,99,99,99,99,99,1,1,4,1,1,2,2,4,2,2,0,5
00131,459,3050,3,6,4,3,3,6,6,6,4,5,6,5,97,5,5,3,4,1,4,99,5,5,5,5,99,4,4,1,4,5,1,2
00132,319,2451,3,6,3,3,2,3,3,4,3,3,3,3,4,3,4,2,2,3,3,3,3,3,3,4,3,3,2,3,4,3,0,0
00133,328,3072,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,2,2,3,4,3,3,3,3,3,4,2,3,3,3,3,0,0
00134,121,3447,3,3,3,3,3,4,3,3,3,3,3,3,4,1,99,3,3,3,3,4,3,3,2,4,4,2,2,3,2,1,0,1
00135,527,2348,3,6,3,2,4,4,2,2,3,3,5,4,4,1,2,2,2,4,3,1,2,2,4,2,2,2,1,3,3,1,0,0
00137,443,2165,3,1,4,5,5,5,3,1,4,4,5,1,2,1,4,3,4,1,3,99,4,4,3,4,4,3,4,2,4,4,0,1
00138,462,2468,3,3,3,3,3,3,3,3,3,3,3,2,4,2,3,3,4,1,4,3,2,2,3,4,2,2,2,3,2,2,0,0
00139,473,2915,2,2,3,2,2,3,2,3,2,2,2,4,4,4,4,2,1,4,3,1,2,5,4,4,3,2,2,4,3,3,0,0
00140,478,2364,3,3,3,3,3,3,3,3,3,3,3,4,4,3,5,2,2,3,4,3,99,99,99,99,99,2,2,4,4,4,0,5
00142,488,2340,3,3,3,4,4,3,3,4,3,3,4,2,4,3,3,2,2,3,1,3,2,2,3,3,3,2,2,4,1,2,0,0
00143,443,3450,4,6,4,4,3,4,4,4,3,4,2,2,4,2,5,3,4,2,4,4,4,4,2,4,4,3,3,4,3,3,0,0
00144,454,3105,4,3,4,3,3,4,2,4,4,3,3,2,4,2,3,2,2,3,3,3,2,2,4,3,2,2,2,3,3,99,0,1
00145,541,3756,3,4,4,2,3,4,3,2,3,4,4,1,4,2,2,2,2,2,4,3,2,3,2,3,2,2,3,2,3,3,0,0
00146,510,2982,4,3,4,4,99,4,4,4,4,4,3,1,4,1,1,2,3,3,4,5,2,3,3,4,3,99,99,99,99,99,0,6
00147,441,3742,4,6,5,5,3,4,5,5,5,5,3,2,3,1,2,2,2,3,3,5,4,4,2,4,4,4,4,2,4,4,0,0
00148,158,2594,4,6,4,5,4,3,4,4,3,3,4,2,3,2,3,4,4,3,4,4,3,3,3,3,3,4,4,2,4,4,0,0
00149,394,3541,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,2,4,3,4,4,5,4,3,4,4,3,4,3,4,4,0,0
00150,304,2643,2,2,2,1,1,2,1,1,1,1,2,4,4,4,3,1,1,4,2,1,1,1,4,1,1,1,1,4,1,1,0,0
00151,358,3611,3,2,3,4,3,3,3,3,3,5,3,3,4,1,3,2,2,3,4,3,2,3,3,4,3,3,3,4,4,2,0,0
00152,438,2715,3,6,3,3,3,4,4,3,3,3,2,2,4,2,3,2,2,4,3,2,2,3,3,4,4,3,3,4,4,3,0,0
00153,140,3579,3,3,3,2,3,2,2,3,2,3,2,2,4,3,3,2,3,3,3,2,2,2,4,2,2,2,2,3,3,2,0,0
00154,582,2901,3,2,4,3,2,4,2,2,3,1,2,4,4,4,4,2,1,4,3,2,2,2,3,3,3,2,1,3,1,1,0,0
00155,620,3537,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,1,3,2,3,3,2,3,3,4,3,2,3,4,3,3,0,0
00156,533,2651,3,2,3,2,3,3,3,3,3,3,3,3,4,3,4,3,3,4,4,3,2,2,3,3,3,2,3,3,3,3,0,0
00157,327,3252,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,2,4,3,2,2,2,2,3,3,99,99,99,99,99,0,20
00158,157,2919,1,2,1,1,2,2,1,2,1,1,1,4,4,4,4,1,1,4,1,1,2,1,4,1,1,2,1,4,2,1,0,0
00159,583,2001,3,6,3,3,3,4,4,6,4,4,3,3,4,2,3,2,3,4,4,3,2,3,3,4,2,2,2,4,3,2,0,0
00160,459,3812,2,1,1,2,1,2,1,3,1,2,1,4,4,3,4,2,3,4,4,4,2,2,4,3,3,2,2,3,3,3,0,0
00161,428,3026,2,6,2,3,2,4,4,6,3,4,2,1,4,2,2,3,4,2,4,5,3,3,4,4,4,3,3,3,3,4,0,0
00162,462,3238,3,3,3,3,3,3,3,2,3,2,3,4,4,4,4,2,2,3,2,2,2,2,1,3,1,1,1,4,3,1,0,0
00163,431,3422,2,3,2,2,2,2,3,3,2,4,3,3,4,2,2,2,3,4,3,99,3,4,3,4,4,4,3,4,3,4,0,1
00164,485,3802,2,6,2,2,2,3,2,3,3,2,3,4,4,3,97,2,2,4,4,2,2,2,4,4,99,2,2,4,2,2,1,1
00165,341,2457,4,6,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,99,99,99,99,99,2,3,3,2,3,0,5
