stud_id,w2sch_id,w2chin_id,w2ctch_id,w1w2chg,w2pgrm,w2clspgm,w2far,w2priv,w2urban3,w2stwt1,w2stwt2,w2nright,w2all3p,w2all3ps,w2cfree,w2cf3p,w2cf3ps,w2math,w2m3p,w2m3ps,w1w2plus,w1w2minus,w2link,w2illp,w2ctc01,w2ctc02,w2ctc03,w2ctc04,w2ctc05,w2ctc06,w2ctc07,w2ctc08,w2ctc09,w2ctc10,w2ctc11,w2ctc12,w2ctc13,w2ctc14,w2ctc15,w2ctc16,w2ctc17,w2ctc18,w2ctc19,w2ctc20,w2ctc21a,w2ctc22a,hw_average,w2ctc23,w2ctc24,w2ctc25,w2ctc26,w2ctc27,w2ctc28,w2ctc29,w2ctc31,w2ctc32,w2ctc33,w2ctc34,w2ctc35,w2ctc36,w2ctc37,w2ctc38,w2ctc39,w2ctc40,w2ctc41,w2ctc42,w2ctc43,w2summis,w2sumerr
5953,538,2550,7,0,1,1,1,0,1,0.777855992,0.919395208,11,-1.62825942,0.581561029,6,-1.473280311,0.666357994,6,-1.246054769,0.579922974,4,2,4,5.18E-12,1,4,1,5,2,2,99,4,3,1,3,1,1,3,3,3,3,1,3,3,3,1,,2,1,2,2,2,3,3,3,1,1,3,1,2,2,3,2,1,2,2,2,1,0
5954,418,3190,13,0,1,1,0,0,3,0.582540989,0.422820449,26,-0.605684519,0.475412995,11,0.149652049,0.557681978,11,-0.239836752,0.440517008,3,5,4,0.385917908,1,5,1,5,2,2,4,3,1,2,1,3,2,3,3,3,2,2,3,2,3,2,,1,2,2,2,2,3,2,2,2,1,2,1,3,1,2,1,1,1,2,2,0,0
5955,400,2391,10,0,1,1,0,0,3,0.615457058,0.727446079,50,2.371417522,0.260259986,20,2.584756374,0.326108009,26,2.853696346,0.460992992,8,0,18,2.33E-36,1,6,1,5,2,2,2,2,1,2,1,2,3,2,2,3,2,1,2,3,1,1,,2,6,1,2,2,3,3,2,1,1,2,1,1,1,2,1,1,2,2,2,0,0
5956,556,2641,1,0,1,1,0,1,3,0.199272037,0.235531718,48,2.571108818,0.290416986,14,1.64252758,0.516448975,23,2.352636576,0.393146992,3,2,15,5.41E-21,1,1,1,1,2,4,4,3,1,2,1,2,3,3,3,4,2,1,4,4,3,2,,1,5,1,2,4,4,4,4,1,3,3,2,3,1,2,2,2,3,4,4,0,0
5957,625,3154,12,0,1,1,0,0,2,3.073722601,3.633019209,42,2.07268858,0.252180994,12,1.079291463,0.587512016,25,2.872883558,0.469182014,2,2,12,2.74E-09,1,5,1,1,2,3,4,5,1,2,1,3,2,3,3,4,2,1,2,4,3,1,,2,5,1,2,3,4,3,2,1,2,2,1,2,2,1,1,1,1,1,2,0,0
5958,480,2789,8,0,1,1,0,0,2,0.203750566,0.240825146,36,1.046468973,0.264128,15,1.619014621,0.516690016,15,0.59248364,0.360008001,4,4,9,1.17E-09,1,5,1,5,1,3,4,3,1,2,1,3,3,2,4,4,3,2,4,4,2,2,,2,4,2,1,2,4,2,3,1,1,3,1,2,1,1,2,1,2,2,3,0,0
5959,157,2393,1,0,1,1,0,0,3,1.726820469,2.041033983,36,1.278381467,0.273775011,11,0.327371925,0.520355999,16,1.007518649,0.359205008,6,2,10,6.19E-21,1,5,1,5,2,2,4,2,1,2,1,2,3,2,3,3,2,1,2,2,1,1,,3,1,2,2,2,3,3,4,1,2,3,1,2,2,1,1,1,1,2,1,0,0
5961,361,3801,2,0,1,1,1,0,1,1.244942546,1.471473217,36,1.286536813,0.234247997,14,1.680760622,0.507331014,21,1.637608528,0.319743991,9,2,15,1.30E-33,1,5,1,5,2,2,2,2,1,2,1,2,2,2,3,3,3,2,3,3,3,2,,2,2,2,2,3,3,3,1,1,1,1,1,2,2,2,1,1,1,2,2,0,0
5962,84,3860,4,0,1,1,0,0,3,0.405341327,0.479097515,53,2.888422966,0.311524004,20,2.907052994,0.391514003,24,2.218227148,0.372963995,5,3,14,2.17E-21,1,2,1,4,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,3,2,1,,2,2,2,2,3,3,3,3,2,2,3,2,2,2,2,1,1,1,2,2,0,0
5963,428,2460,1,0,1,1,1,0,2,0.815631628,0.964044511,32,0.946199417,0.248052999,12,0.762633443,0.575618982,16,0.814443588,0.331710994,7,2,12,7.52E-22,1,3,1,1,2,4,4,3,1,2,1,1,2,3,3,4,2,1,3,4,2,1,,2,5,1,2,3,4,3,4,1,2,2,2,3,1,2,3,3,3,4,3,0,0
